name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Argentina,ARG,ARS,2.5,1,,2000-04-01
Australia,AUS,AUD,2.59,1.68,,2000-04-01
Brazil,BRA,BRL,2.95,1.79,,2000-04-01
Britain,GBR,GBP,1.9,0.632911392,,2000-04-01
Canada,CAN,CAD,2.85,1.47,,2000-04-01
Chile,CHL,CLP,1260,514,,2000-04-01
China,CHN,CNY,9.9,8.28,,2000-04-01
Czech Republic,CZE,CZK,54.37,39.1,,2000-04-01
Denmark,DNK,DKK,24.75,8.04,,2000-04-01
Euro area,EUZ,EUR,2.56,1.075268817,,2000-04-01
Hong Kong,HKG,HKD,10.2,7.79,,2000-04-01
Hungary,HUN,HUF,339,279,,2000-04-01
Indonesia,IDN,IDR,14500,7945,,2000-04-01
Israel,ISR,ILS,14.5,4.05,,2000-04-01
Japan,JPN,JPY,294,106,,2000-04-01
Malaysia,MYS,MYR,4.52,3.8,,2000-04-01
Mexico,MEX,MXN,20.9,9.41,,2000-04-01
New Zealand,NZL,NZD,3.4,2.01,,2000-04-01
Poland,POL,PLN,5.5,4.3,,2000-04-01
Russia,RUS,RUB,39.5,28.5,,2000-04-01
Singapore,SGP,SGD,3.2,1.7,,2000-04-01
South Africa,ZAF,ZAR,9,6.72,,2000-04-01
South Korea,KOR,KRW,3000,1108,,2000-04-01
Sweden,SWE,SEK,24,8.84,,2000-04-01
Switzerland,CHE,CHF,5.9,1.7,,2000-04-01
Taiwan,TWN,TWD,70,30.6,,2000-04-01
Thailand,THA,THB,55,38,,2000-04-01
United States,USA,USD,2.51,1,,2000-04-01
Argentina,ARG,ARS,2.5,1,,2001-04-01
Australia,AUS,AUD,3,1.98,,2001-04-01
Brazil,BRA,BRL,3.6,2.19,,2001-04-01
Britain,GBR,GBP,1.99,0.699300699,,2001-04-01
Canada,CAN,CAD,3.33,1.56,,2001-04-01
Chile,CHL,CLP,1260,601,,2001-04-01
China,CHN,CNY,9.9,8.28,,2001-04-01
Czech Republic,CZE,CZK,56,39,,2001-04-01
Denmark,DNK,DKK,24.75,8.46,,2001-04-01
Euro area,EUZ,EUR,2.57,1.136363636,,2001-04-01
Hong Kong,HKG,HKD,10.7,7.8,,2001-04-01
Hungary,HUN,HUF,399,303,,2001-04-01
Indonesia,IDN,IDR,14700,10855,,2001-04-01
Japan,JPN,JPY,294,124,,2001-04-01
Malaysia,MYS,MYR,4.52,3.8,,2001-04-01
Mexico,MEX,MXN,21.9,9.29,,2001-04-01
New Zealand,NZL,NZD,3.6,2.47,,2001-04-01
Philippines,PHL,PHP,59,50.3,,2001-04-01
Poland,POL,PLN,5.9,4.03,,2001-04-01
Russia,RUS,RUB,35,28.9,,2001-04-01
Singapore,SGP,SGD,3.3,1.81,,2001-04-01
South Africa,ZAF,ZAR,9.7,8.13,,2001-04-01
South Korea,KOR,KRW,3000,1325,,2001-04-01
Sweden,SWE,SEK,24,10.28,,2001-04-01
Switzerland,CHE,CHF,6.3,1.73,,2001-04-01
Taiwan,TWN,TWD,70,32.9,,2001-04-01
Thailand,THA,THB,55,45.5,,2001-04-01
United States,USA,USD,2.54,1,,2001-04-01
Argentina,ARG,ARS,2.5,3.13,,2002-04-01
Australia,AUS,AUD,3,1.86,,2002-04-01
Brazil,BRA,BRL,3.6,2.34,,2002-04-01
Britain,GBR,GBP,1.99,0.689655172,,2002-04-01
Canada,CAN,CAD,3.33,1.57,,2002-04-01
Chile,CHL,CLP,1400,655,,2002-04-01
China,CHN,CNY,10.5,8.28,,2002-04-01
Czech Republic,CZE,CZK,56.28,34,,2002-04-01
Denmark,DNK,DKK,24.75,8.38,,2002-04-01
Euro area,EUZ,EUR,2.67,1.123595506,,2002-04-01
Hong Kong,HKG,HKD,11.2,8,,2002-04-01
Hungary,HUN,HUF,459,272,,2002-04-01
Indonesia,IDN,IDR,16000,9430,,2002-04-01
Israel,ISR,ILS,12,4.79,,2002-04-01
Japan,JPN,JPY,262,130,,2002-04-01
Malaysia,MYS,MYR,5.04,3.8,,2002-04-01
Mexico,MEX,MXN,21.9,9.28,,2002-04-01
New Zealand,NZL,NZD,3.6,2.24,,2002-04-01
Norway,NOR,NOK,35,8.56,,2002-04-01
Peru,PER,PEN,8.5,3.43,,2002-04-01
Philippines,PHL,PHP,65,51,,2002-04-01
Poland,POL,PLN,5.9,4.04,,2002-04-01
Russia,RUS,RUB,39,31.2,,2002-04-01
Singapore,SGP,SGD,3.3,1.82,,2002-04-01
South Africa,ZAF,ZAR,9.7,10.9,,2002-04-01
South Korea,KOR,KRW,3100,1304,,2002-04-01
Sweden,SWE,SEK,26,10.4,,2002-04-01
Switzerland,CHE,CHF,6.3,1.66,,2002-04-01
Taiwan,TWN,TWD,70,34.8,,2002-04-01
Thailand,THA,THB,55,43.3,,2002-04-01
Turkey,TUR,TRY,4e+06,1324500,,2002-04-01
United States,USA,USD,2.49,1,,2002-04-01
Venezuela,VEN,VEF,2500,857,,2002-04-01
Argentina,ARG,ARS,4.1,2.88,,2003-04-01
Australia,AUS,AUD,3,1.61,,2003-04-01
Brazil,BRA,BRL,4.55,3.07,,2003-04-01
Britain,GBR,GBP,1.99,0.632911392,,2003-04-01
Canada,CAN,CAD,3.2,1.45,,2003-04-01
